An Yul,안율,-,South Korea,B,2010,-
Ayumu ,아유무,-,Japan,R ,2004,-
Bae Jaeho,배재호,-,South Korea,G,2008,-
Cha Woongki,차웅기,-,South Korea,B,2002,t
Chih En ,즈언,-,Taiwan,R ,2006,t
Daisuke ,다이스케,-,Japan,R ,2009,-
Eito ,에이토,-,Japan,R ,2004,-
He Junjin ,허쥔진,-,China,G,2005,-
Hiroto ,히로토,-,Japan,R ,2003,-
James ,제임스,-,Thailand,R ,2004,-
Jang Kyungho ,장경호,-,South Korea ,G,2001,t
Jiang Fan ,지앙판,-,China,B,2005,e
Jin Ziming ,진즈밍,-,China,B,2007,-
JL ,제이엘,-,Philippines,R ,2004,t
Kairi ,카이리,-,Japan,B,2003,-
Kang Junhyuk ,강준혁,-,South Korea,B,2007,e
Kenta ,켄타,-,Japan,G,2002,t
Keum Jinho ,금진호,-,South Korea,B,2000,-
Kim Daeyun ,김대윤,-,South Korea,G,2002,-
Kim Dongyun ,김동윤,-,South Korea,R ,2008,-
Kim Gijoong ,김기중,-,South Korea,G,2001,-
Kim Hyotae ,김효태,-,South Korea,B,2004,-
Kim Joohyoung ,김주형,-,South Korea,G,2003,-
Koo Hanseo ,구한서,-,South Korea,G,2002,-
Kwon Heejun ,권희준,-,South Korea,G,2001,-
Li Zhinuo ,리쯔누오,-,China,R ,2004,-
Li Zhiwei ,리쯔웨이,-,China,B,2002,-
Mac ,맥,-,Thailand,R ,2006,-
Nam Doyoon ,남도윤,-,South Korea,B,2008,-
Park Han ,박한,-,South Korea,G,2006,-
Park Jihun ,박지훈,-,South Korea,B,2006,e
Park Juwon ,박주원,-,South Korea,G,2007,-
Park Yeonjun ,박연준,-,South Korea,B,2003,e
Royce ,로이스,-,China,B,2000,e
Seo Jeongwoo ,서정우,-,South Korea,G,2001,-
Sirin ,시린,-,Thailand,G,2008,-
Steven ,스티븐,-,Australia,R ,2000,t
Xie Yuxin ,시예위신,-,China,R ,2005,-
Yeo Gangdong ,여강동,-,South Korea,G,2007,-
Yuito ,유이토,-,Japan,B,2007,-
Zen Zen ,젠젠,-,Thailand,R ,2009,-
Zhang Shuaibo ,장슈아이보,-,China,R ,2002,t
